,none,bank,p0_roads,p1_roads,tile_features,p0_settlements,p1_settlements,p0_cities,p1_cities,rolled_and_robber_features,p0_vps,p1_public_vps,p0_pieces_and_hand,p1_pieces_and_hand,p0_devs_played,p1_devs_played
1,2.8587642916325042,0.14544072187765034,-0.001288068224952199,-0.09971669010956916,-0.18544787581708413,-0.06787927213511519,-0.09530260446074651,-0.01964905226306396,0.011215079255906424,0.2833401469265239,0.7498195773100418,-0.10795449892037862,0.3057399488759064,0.1840375278839479,0.028017681647165532,0.010863010129468498
2,2.858764500964888,0.1008352162360324,0.0074586807353452245,-0.19566294557329936,-0.4505156986558007,0.008378470546962974,-0.19505735712869932,-0.022471576695449413,0.010822799431339486,0.16732084125509006,0.2840449317284375,-0.38180983714586403,-0.26307154995286774,0.03586544944281082,0.02784349372311426,0.007254855453301762
3,2.8587642572601726,0.18659931263736446,-0.05135625866868562,-0.11420274569861072,-0.09696247069361724,0.003040292805469247,-0.08019870303196608,-0.01897160571977413,-0.008930085477071248,0.15473088018833367,0.16464315576236044,0.04008764389716607,0.6849861463021197,0.24184804023850826,0.037775790531418635,-0.001853671063434592
4,2.8587642554738113,0.16458694416524447,-0.03690333940309248,-0.08801725382504283,-0.07117156351041631,0.005471562777656869,-0.1022631785574738,-0.014206564754901452,-0.008854652952832831,0.13251969858568963,0.016999819989111598,0.04484687257206149,0.7819357476849982,0.28256899016406073,0.03750311380590188,-0.0037804619073460444
5,2.858764235375871,0.15907484825659002,-0.08967108780466934,-0.0410370809836772,-0.043989861975752165,-0.005900563875856302,-0.11252475616364388,-0.01550286161822828,-0.005069014682171358,0.1273276735800935,0.011911785084619597,0.04391449554656074,0.7864789612820816,0.2771852862253923,0.05158254194858597,-0.002544622424452303
6,2.858764191106076,0.16641869337124285,-0.08297744410795305,-0.04638272825854611,0.06309781524975339,0.00043548565880147105,-0.09646063916970535,-0.01305163861918951,-0.016035139845620827,-0.1245592061072695,0.017601937140969193,0.052906768791780634,0.8708138858617039,0.2975355782592156,0.04968067041583529,0.002211694992849178
7,2.858764239889493,0.23065538988089268,-0.19059580475256246,-0.02054818082623805,-0.202997081621335,0.020337574875406772,-0.19246382262559458,-0.01020758678778938,0.015543858778977349,0.11763731912461861,-0.007900155309056633,0.08329510855507682,0.5922839070914188,0.6595925540577935,0.03873951683013235,0.007863131743871377
8,2.8587642021982513,0.28674782018299105,-0.1865031348254747,-0.024939206039750417,-0.20186635482247445,0.027829211855530805,-0.17982789436910082,-0.009535159093184253,0.011774427719224212,-0.12747366499594764,-0.012201252280542974,0.09070439873518366,0.6549494191917697,0.7641037145430991,0.03906027753225286,0.008413120741450342
9,2.85876425208444,0.14604503450070744,-0.049009622789187635,-0.009559481015027183,-0.015611418135520916,0.008493110445514707,-0.10672877910236744,-0.0038379401517391054,-0.004136603836237429,0.1289309601745611,0.006718615606520872,0.030220363874326417,0.6761879894482778,0.29713255437369646,0.03222469426590163,0.004166263705190576
10,2.8587641875919103,0.14633414230162073,0.019792723903164694,-0.015215420366709531,0.04527669389661643,0.03191693838152371,-0.05403197771482071,-0.002682908438315257,-0.0028831897821202657,-0.1256666464017105,0.01866131772689733,0.029378081450608967,0.8052630155057958,0.20313143673765532,0.03392616686308805,0.008035362743079089
