,none,board_features,graph_features,turn_features,p0_vps,p1_vps
1,2.6568695070207857,-0.18862792449695698,0.004759603595019368,0.3833182841741999,0.9392307572683317,0.20444970279558305
2,2.656869805161792,-0.6770733536375282,-0.19562283419320103,0.16038624415514752,0.21140508401034344,-0.15596459181712607
3,2.656869792671639,-0.6190673656016172,-0.27919785104964934,0.1418770972545117,0.12750988811745662,-0.0279911861174299
4,2.656869794190959,-0.5049126808525679,-0.43458265517482975,0.15055479393640492,0.16914413524293948,-0.03707299635157846
5,2.656869746284264,-0.435430332784361,-0.4196050504086837,0.15804467197825237,0.04640501661146912,-0.006283740931116222
6,2.656869629879321,-0.1980593781657815,-0.23953450498010131,-0.1927497631114018,0.05631550528218815,-0.0828413318234415
7,2.6568697446053773,-0.37866627062466657,-0.44397555858532234,0.17075913897814982,0.24551589071053725,-0.25050259150638743
8,2.6568696305107595,-0.14981609567100435,-0.24568470490117877,-0.30463544992874425,0.22776209111931758,-0.18449533843483001
9,2.6568696491758046,-0.3575725021264679,-0.2504618916444098,-0.1502842586511256,0.25839532123842607,-0.1569460936173962
10,2.6568696573238997,-0.1783907559218278,-0.21211790198938296,0.1334646474670632,-0.07539524361066502,-0.32443020579583026
11,2.6568696089199175,-0.03980380124065358,-0.3424292147519534,-0.16735754843410244,0.14502877194352704,-0.25230765877311256
12,2.656869615163448,-0.19971813883594908,-0.22127892463786658,0.09844477779293259,-0.006145110355043559,-0.32817208416785804
13,2.6568695853153823,-0.3265661034958453,-0.18638906105042807,-0.15618554967314735,0.3422736673876412,-0.3300023942051836
14,2.656869590156673,-0.10952439012769705,-0.21681454724681015,0.12845180227839575,0.09483808617350181,-0.5538204120682523
15,2.65686950436485,-0.12161021125122778,-0.16257488747776694,-0.1508483952441403,0.3408124331671834,-0.5626483927270293
16,2.656869514632162,-0.1772363230953919,-0.15593987759670036,0.009976204353091767,0.5057030663992317,-0.839372497890182
17,2.656869261661994,-0.038822598429178984,0.07726493372134419,-0.04406678542202608,0.8721608305541464,-0.5234059031230811
18,2.6568696428618868,-0.23017281369992199,-0.2744412184629311,0.14089308780557502,-0.00571440739743706,-0.2874340923420283
19,2.656869550038882,-0.12820281160507657,-0.2276855493933947,-0.13885421479272764,0.16732929116770323,-0.32945618850415137
20,2.6568696859941716,-0.2634988854366754,-0.25566404429896117,0.1403923496989848,-0.01967195597015753,-0.25842689799897545
21,2.6568696249684836,-0.1937130649156708,-0.2902924386763842,-0.15390700928944445,0.18531293120583045,-0.20426984673996684
22,2.6568693465664435,0.06142602886519255,-0.04138213253902634,0.35499077754147923,0.6830079296638323,0.28508785202665654
23,2.6568693084185435,0.19179940404181328,-0.04852311053368119,-0.11675061095785755,0.9712188052739884,0.3453860351382509
24,2.656869417128605,0.002739357136450238,-0.01511162989923176,0.13017064645138388,1.0007588951834874,0.22457328916936248
25,2.6568693325584007,0.028740328222367828,-0.039057527698180605,-0.22220543778899882,1.0331171465202722,0.5425359912632947
26,2.6568693209092604,-0.12243701225933767,0.04745694758754393,-0.12308478275187906,1.1736617313553883,0.3675336834795605
27,2.6568693553501754,-0.20528669925849685,0.007425352490501469,0.15954206464381537,0.9228176333187346,0.45863214803631147
28,2.6568692758720993,-0.18421855574721624,0.17389828017491282,-0.12189897784969417,1.0018416687640581,0.47350805936562873
29,2.6568694520875873,0.0015481899352008943,-0.032422729694803865,0.16948405390630694,0.6604345854014873,0.5440864236801546
30,2.656869379573658,0.029751426283989857,0.04259570060098372,-0.11404526248560054,0.9261622314847255,0.4586664533779564
31,2.656869400663583,0.018332308719050006,0.023007725393997314,0.14813919878017678,1.0747829100181103,0.07886840580435106
32,2.6568693026640875,0.06246678179036447,0.04548894799243541,-0.13284605289382667,1.1776530540312078,0.19036780676755716
